name,average_revenue_per_movie
David Ayer,61178614
Joseph McGinty Nichol,61142448
Tim Miller,303495786
Garth Jennings,300972204
Han Han,148464462
Robert Schwentke,65842843
Michael Apted,23680032
Joel Coen,31079755
Alejandro Gonzalez Inarritu,83750394
Danny Boyle,38961067
Makoto Shinkai,83445967
James Foley,44464174
Gary Trousdale,186560362
Mel Gibson,79572893
Patty Jenkins,138604666
Barry Levinson,20529926
Paul Feig,55191683
D.J. Caruso,36586446
Oliver Stone,25892821
Don Hall,135158220
Tim Story,33433283
Phyllida Lloyd,178200172
Darren Aronofsky,59066544
Michael Mann,40500808
Phil Lord,87706117
Christopher Miller,105247341
Lasse HallstrÃ¶m,27455089
Wilson Yip,86597117
Mark Osborne,172397882
Seth MacFarlane,172382079
Robert Stromberg,517129407
Tim Johnson,102592545
Timur Bekmambetov,56694940
David F. Sandberg,84670432
Will Gluck,72483716
Olivier Nakache,125429695
Eric Toledano,125429695
Adrian Lyne,50080226
Rawson Marshall Thurber,82875450
Len Wiseman,99114703
Herman Yau,35017787
Kevin Lima,81629544
Duncan Jones,96583343
Dan Scanlon,474967481
Xiaozhi Rao (é¥¶æå¿) ,157132456
John Stevenson,156897392
Joe Wright,46983418
Gary Ross,93499686
Yan Han (é©å»¶),77728171
Michael Patrick King,153977695
Xiaogang Feng,76835325
Chiyu Zhang,460237662
Haruo Sotozaki,65411812
Daniel Lee,75985197
Betty Thomas,64775508
Sydney Pollack,26622435
Chuck Russell,50170411
Paul Weitz,34681875
Andres Muschietti,149550419
David Slade,148759412
Adam Shankman,44173691
David Frankel,43716868
Brenda Chapman,109020881
Vicky Jenson,108667033
Kevin Reynolds,54281511
Alex Proyas,71880459
Peter Weir,35410980
Frank Coraci,46691451
Jerry Zucker,69994780
Takashi Yamazaki,32247600
Brad Silberling,52051373
Jonathan Mostow,59200454
Mark Waters,31811490
Lee Tamahori,41353209
Sam Taylor-Johnson,102762139
Brian De Palma,17013963
Peter Sohn,133585395
S.S. Rajamouli,133581424
Adam Wingard,36118625
John Madden,30490845
Nicholas Stoller,49404342
Brian Levant,39511459
Chris Wedge,131092443
Jordan Vogt-Roberts,131022119
Xing Wenxiong,392828934
Joon-ho Bong,49075915
Sharon Maguire,129853465
Peter Ramsey,194389788
Kirk De Micco,385900000
Ol Parker,96136029
Nathan Greno,382955306
Peter Segal,34491556
Alessandro Carloni,377642206
Rupert Sanders,74646425
Damien Chazelle,74595437
Robert Luketic,46437367
Tim Hill,46348330
Jeff Fowler,184002374
Travis Knight,91881259
Lu Yang,122301198
Mick Jackson,52391957
Nora Ephron,52261978
Andrew Davis,33085269
Neill Blomkamp,72704125
David O. Russell,32963752
Irvin Kershner,120587375
James Bobin,72095894
Morten Tyldum,119137538
Andy Tennant,32322481
Kent Seki,352906916
Guy Hamilton,34900415
Mike Thurmeier,338093674
Roger Spottiswoode,25951899
David Lam,37439605
Jean-Pierre Jeunet,41899554
Larry Charles,47619616
Chao Deng,83247265
Baimei Yu,83247265
Pedro Almodovar,15803363
Alex Kurtzman,165019230
Phil Johnston,328199119
Paul King,82010033
Karey Kirkpatrick,108532584
Stephen Frears,14743859
Baltasar Kormakur,35589254
Alan J. Pakula,24633783
Jonathan Demme,13886826
Jean-Jacques Annaud,29026728
Wes Craven,15922123
Mark Andrews,158662175
Walt Becker,62504215
Stanley Tong,44613019
Gavin Hood,44407690
Ethan Coen,38780186
Patrick Hughes,61628294
Cameron Crowe,34207680
Tian Yusheng,306710033
Jackie Chan,43811717
Roger Donaldson,16950001
Curtis Hanson,27678581
Tony Chan,60761844
Roger Michell,30280122
Rupert Wyatt,60533590
Seth Gordon,60363775
Tarsem Singh,60249229
Anne Fletcher,42937686
Nick Park,59908590
John Moore,49784027
Nitesh Tiwari,74448555
Ben Stiller,36868565
Michael Gracey,97717085
Andy Serkis,73093924
Michael Dougherty,97296868
Cheang Pou-Soi,96972864
Florian Henckel von Donnersmarck,96252602
Sean Anders,41249591
Tom Tykwer,28714387
P.J. Hogan,47844976
Catherine Hardwicke,23911813
Benny Chan,47728927
Gabriele Muccino,28442453
Simon J. Smith,283591620
John Krasinski,56681884
Soi Cheang,94247623
Steve Hickner,139081650
Rob Reiner,13857679
Chirs Buck,277100000
Dominic Sena,55317185
Jason Reitman,27651019
Joel Crawford,92028673
Kobun Shizuno,27582455
Keenen Ivory Wayans,45898652
ChloÃ© Zhao,68447473
John Landis,15208616
Olivier Megaton,68395631
Francis Ford Coppola,11878745
Anthony Minghella,38805466
Chad Stahelski,38431773
Mike Nichols,14849028
Mimi Leder,38140217
Harald Zwart,52958829
Roman Polanski,13211311
Wes Anderson,22018037
Peter Chan,66033904
Wuershan,129994970
Daniel Espinosa,43163623
Yuen Woo Ping,43146382
Richard Curtis,85910179
Jon Amiel,32125267
David Soren,85456799
Andy Muschietti,85323576
Jose Padilha,63747415
Mark Dindal,63664290
Stephen Daldry,31766768
JiangJiang Liu,253816909
Kevin Costner,63368280
Marc Lawrence,50620011
John Badham,17973777
Tony Gilroy,83870853
Corin Hardy,82671767
Bora Dagtekin,82508850
Peter Chelsom,20557103
Eric Brevig,123002623
Li Wei,81853856
Fergal Reilly,244778975
Clay Kaytis,81592992
Terry Gilliam,20352932
Edgar Wright,30463175
Teng Cheng,243672563
Darren Lynn Bousman,18679859
Nick Cassavetes,22001170
Emile Ardolino,40332659
Scott Mosier,241942982
Yarrow Cheney,241942982
Chengpeng Dong (è£æé¹),48068410
Ariel Schulman,34291738
Henry Joost,34291738
Mikael Hafstrom,29879080
Olivier Magaton,238400000
Bibo Bergeron,118664671
Jill Culton,117367013
Adam Robitel,58085238
Hideaki Anno,33187152
Dany Boon,46377189
Steven S. DeKnight,231055623
Adam McKay,25656459
Brian Fee,230640254
David Bowers,32726999
Derek Tsang,228183153
Destin Daniel Cretton,38029673
Peter Cattaneo,56749790
Philippe de Chauveron,45381230
Noam Murro,113172165
Peter Lord,113046240
William Friedkin,11890207
Huida Lin,111952185
Beeban Kidron,44738306
Choi Dong-hoon,55817321
Stephen Gaghan,44555879
John Singleton,24748777
David R. Ellis,36976121
Jason Friedberg,22156621
Zhao Ji,73616760
Steven Quale,44113874
Tomoka Nagaoka,110214909
Bilall Fallah,73360996
Adil El Arbi,73360996
Neil Burger,36657887
Andy Fickman,19919417
Oliver Parker,31255915
Ralph Zondag,54620000
Eric Leighton,218400000
Roar Uthaug,54424408
Bradley Cooper,108290829
Leon Ding,72063527
Mel Smith,43233120
Chris Noonan,107663371
Ryuichi Yagi,106803236
Tommy Wirkola,23724739
James L. Brooks,35571939
Fei Yan,106645276
Jim Abrahams,26641232
Alexander Payne,21285325
Da-Mo Peng,212660552
Judd Apatow,23628277
Donald Petrie,16309418
David Gordon Green,13206528
Greg Tiernan,41858359
Rene Liu,209221328
Peter Hyams,12245120
Sam Fell,51603309
Michel Gondry,17186871
Frank Oz,15838285
Randal Kleiser,20565855
Guo Jingming,51371452
Jordan Peele,68489716
Mark Steven Johnson,22800859
Andrew Niccol,29044376
Josh Boone,67695494
Michael Chaves,67678464
Dean Parisot,40525937
Taylor Hackford,13507612
Steve Bendelack,201679175
Steve Carr,22265786
Jimmy Hayward,66686873
Roberto Benigni,49944279
Cate Shortland,49932800
Peter Howitt,39922300
Glenn Ficarra,33264916
John Requa,33264916
Sam Quah,199276793
Justin Kurzel,33202254
Xiao Lu Xue,99542708
Kim Yong-hwa,98910549
Huang Bo,197659887
Stephen Herek,10918261
Stephen Chbosky,49073770
David Dobkin,27978363
Kabir Khan,39060184
Craig Gillespie,27883584
Frank Darabont,39036727
Thor Freudenthal,48751119
James Wong,48341652
Victor Fleming,64036104
George Cukor,17448174
Sam Wood,63948241
Kirk Jones,38318813
Brad Lewis,190072267
Alexandre Aja,18981901
Mathieu Kassovitz,47303705
Robert Redford,20953089
John G. Avildsen,12571124
Dean Devlin,94226372
Woo-seok Yang,47097077
Ben Stassen,23545199
Camille Delamarre,62636372
Jazz Boon,62589446
Felix Chong,186027770
Gus Van Sant,10922835
Rodney Rothman,185291432
Bob Persichetti,185291432
Christopher Landon,26457381
Simon Kinberg,92421632
Youn Jk,46193415
Seung-wan Ryoo,30732675
Robert Wise,11477965
Han-Min Kim,61113311
Gary Rydstrom,60785484
John R. Leonetti,45440984
Rohit Shetty,20189371
Kenny Ortega,22631609
Elizabeth Banks,25811000
Jon Hurwitz,180040376
Hayden Schlossberg,180040376
Rajkumar Hirani,59972309
Malcolm D. Lee,13829649
Neil Jordan,9417793
Clyde Geronimi,44723290
Alejandro AmenÃ¡bar,35772010
Wilfred Jackson,59536615
Yuichi Fukuda,22247164
Simon Wells,25379396
Ben Affleck,29491760
Rob Bowman,44195306
Mo Dai,176420000
George Clooney,21979115
Eli Roth,17482416
Jiang Wen,43651889
Steve Rodney McQueen,29020745
Stephen Norrington,86947906
Breck Eisner,57915554
Hoyt H. Yeatman,173381071
Hiromasa Yonebayashi,57724745
Josh Trank,57199293
Brian Helgeland,28590261
Derek Kwok,85606058
Steve Oedekerk,42739701
Paul Thomas Anderson,18875808
Lawrence Guterman,84512425
XiaoPeng Tian,83484064
Martin McDonagh,41730458
David Green,33303295
Richard Marquand,41475070
Joseph Ruben,16576994
Les Mayfield,20717383
Stephen Hopkins,15064235
James Algar,82601500
Albert Hughes,23543330
Peter Hewitt,20584037
Gary Shore,82150618
Scott Waugh,40931700
Sofia Coppola,20426645
Tatsuya Nagamine,81470116
Seong-Hu Park,162516574
Aaron Seltzer,20304827
Tate Taylor,20298630
John Hamburg,32472353
Josh Gordon,32425266
Will Speck,32425266
Amy Heckerling,17982190
Harold Ramis,14617693
Yu Shan Chen,53562564
Joe Pytka,79858425
Spike Lee,5302572
Dennis Gansel,26502298
Taniguchi Goro,39700590
Wong Amp,79160000
Jeff Tremaine,14354722
Gary Dauberman,78313300
Michael Moore,14230291
Joe Carnahan,15586356
David Kerr,77478554
Cody Cameron,154599082
Kris Pearn,77299541
Roger Kumble,19289501
Chris McKay,30806542
Prashanth Neel,51312904
Peter Faiman,76700000
Pierre Perifel,153290271
Zhang Hongwei,152549032
Kathryn Bigelow,16872783
Thea Sharrock,50606611
Kim Jee-woon,21667116
Pierre Morel,18949740
Tom Dey,30239276
Scott Speer,21538707
Gavin Lin,150333552
Richard LaGravenese,21472475
George P. Cosmatos,18748071
Kazuya Tsurumaki,49851656
Mahiro Maeda,74756338
Sheng Ding,24837409
Paul Tibbitt,148019149
Dmitry Dyachenko,21117653
Klay Hall,147776989
Leigh Whannell,36832986
James Gray,16332092
Liuxun Zimo,145776356
Laurent Tirard,20778610
Tom Vaughan,29074651
Hideo Nakata,10382276
Xie Dikui,72415000
Trish Sie,35934721
Jon Lucas,28679310
Scott Moore,28679310
Anthony Leondis,70980037
Greta Gerwig,47301701
Steve Box,141524605
Mamoru Hosoda,35296956
Ali Abbas Zafar,35229731
Cal Brunker,35225563
Gilbert Lewis,140000000
Lewis Gilbert,34650000
Hirokazu Kore-eda,13850519
Kevin Greutert,23046150
Lok Man Leung,68659046
Leste Chen,34228037
Ruoxin Yin,68387752
Sarah Smith,68314317
Alec Su,68243359
Brian Robbins,13539174
Jared Bush,134709609
Gregory Hoblit,26932423
Fede Ãlvarez,33661338
Michael Caton-Jones,11207189
Dexter Fletcher,26785355
Joel Zwick,33475207
Niels Arden Oplev,26733444
Babak Najafi,33377682
David Zucker,13322457
Jason Kwan,66527005
Su Lun,66451826
Chang Yuan,132213520
Luan Zhang,66080377
Gary Winick,21835652
Jesse Dylan,43666667
Advait Chandan,65432464
Jeff Wadlow,14517457
Frank Miller,43505712
William Brent Bell,18643263
Shekhar Kapur,16295878
Cornell John,130300000
Fedor Bondarchuk,26007481
Don Bluth,12927769
Terrence Malick,12905188
Jonathan Frakes,21475195
Ken Kwapis,12872567
Sang-ho Yeon,32117251
Gil Kenan,32070947
Seong-hoon Kim,42622167
Greg Mottola,15970866
Kevin MacDonald,12761148
George A. Romero,7505456
Tianyu Zhao,42450135
Allen Hughes,14064511
Ryan Murphy,31554163
Martin Brest,25155596
Qiansen Ouyang,124169976
Miao Yue,30931422
David Twohy,20580937
Ric Roman Waugh,17533357
Kazuaki Imai,61332091
Andrzej Bartkowiak,17076473
Fangfang Li,119035160
Emilio Martinez Lazaro,29716380
Wu'ershan,118495630
Marcus Nispel,23641113
Lei Zhilong,117577445
David S. Goyer,29366531
Goro Miyazaki,39098049
Cedric Nicolas-Troyan,58573144
Cathy Yan,38971590
Shinji Higuchi,29223458
Michel Hazanavicius,16528789
Han Tian,57478804
Byeong-Hun Lee,114561676
Nigel Cole,22816485
John Lee Hancock,14226893
Michael Spierig,28442425
Peter Spierig,28442425
Seok-hoon Lee,56866771
Carl Rinsch,113354340
Lin Yan,112370000
Min-ho Woo,27997121
Richard Linklater,5301587
Michael Lembeck,13899443
Alan Parker,7941947
Jared Stern,110805861
Paul Haggis,22145513
Doug Sweetland,110674153
Thurop Van Orman,110598112
Chuan Lu,36761511
Frank Marshall,18353923
Parker Finn,110114686
Wang Baoqiang,109911139
Lawrence Kasdan,9971403
Garth Davis,54624224
Joon-ik Lee,27203237
Iain Softley,13545590
Mike Flanagan,15456138
Eduardo Sanchez,18026735
Yuzuru Tachikawa,53959023
Daniel Myrick,53880451
Kar-wai Wong (çå®¶å«),7680835
Tyler Gillett,13434289
Matt Bettinelli-Olpin,13434289
Park Chan-wook,10714597
Victor Salva,21420129
Pete Travis,26681942
Simon Curtis,21273275
Russell Mulcahy,8174334
James DeMonaco,17706347
Olivier Dahan,35403982
Jeannot Szwarc,17663000
Richard Attenborough,10589106
James Marsh,13196676
Wai Ka-Fai,52758013
Sang Yong Lee (ì´ìì©),35140643
Jang Hun,52572672
James McTeigue,20946348
Jon Avnet,13003064
Niki Caro,13001527
Sunny Luk,103968662
Jonathan Levine,14835814
Haiqiang Ning,20732452
Santiago Segura,12914251
Enrique Gato,34153496
Danny Cannon,51063809
Wai Man Yip,20276279
Marco Brambilla,50500000
Daniel Alfredson,14418822
Gary Fleder,14400753
Yuen Fai Ng,100730000
Angus Maclane,100461111
Zhao Wei,100030000
Konstantin Feoktistov,11094344
Larry Yang,33216253
John Pasquin,24881527
Mans Marlind,32934050
BjÃ¶rn Stein,49383822
Michael Engler,49333313
Takashi Miike,4484552
Luke Greenfield,19723286
Ericson Core,32872095
Fernando Meirelles,16414120
Scott Hicks,12308694
Nick Bruno,49183540
Troy Quane,49183540
Burr Steers,32770222
Steven Caple Jr,24468908
Dan Mazer,24444803
Terence Young,16266667
Neveldine & Taylor,97443353
Bobs Gannaway,97241912
Gavin OâConnor,13858986
Ding Liang,96784216
Steven Brill,10732826
David Koepp,13783880
Ryuichi Hiroki,9636363
Stephen Anderson,48091655
Peter Webber,16016194
Tsutomu Hanabusa,9598519
Alastair Fothergill,8725419
Stanley Kubrick,7899178
Bin Huang,31569493
Nimrod Antal,15644800
Tod Williams,46889300
Tomas Alfredson,31258768
Chang-min Choo,31226829
Park Hoon-jung,11677959
Mark Linfield,18671663
Lee Hwan-kyung,31053720
Scott Stewart,23208433
Simon Wincer,8426363
Jay Russell,15447729
Shinsuke Sato,15438112
Katsuichi Nakayama,92492851
Walter Hill,4012377
Ronny Yu,23060437
Yukihiko Tsutsumi,10244721
Joe Roth,18389287
Huang Jianxin,45929300
Wayne Wang,5402144
John Francis Daley,30540443
Jonathan Goldstein,30540443
Sergey Bodrov,91149182
Clark Johnson,30118992
Olivier Baroux,14998022
Penelope Spheeris,8178076
EiichirÅ Hasumi,29914690
Ben Palmer,44536073
Tony Ching,44517503
Nobuhiro Doi,22216497
Keishi Ohtomo,11093271
Jeffrey Lau,17727848
Francois Ozon,5870645
Steve Barron,12576298
Lau Ho-leung,43878814
Paul McGuigan,10959446
Neil Nightingale,43814504
Hwang Dong-hyuk,43685157
Barry Cook,87292721
Greg Strause,87087428
Colin Strause,87087428
Katsuyuki Motohiro,21762813
Yuhan Wu,86876449
Johannes Roberts,10857974
Oren Peli,43132112
Lee Daniels,17250318
"George Tillman, Jr",10740336
David Cronenberg,4087687
Alister Grierson,28607520
Alexandre Avancini,28270053
Kunihiko Yuyama,14120136
Liang Xuan,84717566
Chun Zhang,84717566
Charles Martin Smith,10570660
Wei Zheng,42189535
Takashi Otsuka,84372182
Guillaume Canet,16835062
Michael Lehmann,9341464
Eric Lartigau,16801267
James Watkins,41702157
Matteo Garrone,16616340
Richard Starzak,82475004
Mark Burton,82475004
Anthony LaMolinara,82406221
Zhao Xiaoding,82406221
Neil Marshall,10298706
Walter Salles,10270634
Johnnie To,10245416
Richard Loncraine,10244619
Patrick Lussier,13638270
Gennaro Nunziante,27215169
Fabien Onteniente,27207112
YÃ´jirÃ´ Takita,20398209
Jacky Wu,81461069
Stephen Fung,16245523
Takahisa Zeze,10142481
Takaski Shimizu,40416889
Scott Cooper,11504169
Gurinder Chadha,8927840
Andrew Bergman,13366667
Nikolaj Arcel,40098359
Wally Pfister,80016949
Michael Sucsy,26439082
Brad Furman,15857167
Yorgos Lanthimos,13173455
Anton Megerdichev,26342442
J. Blakeson,19753920
Wataru Takahashi,19740103
Angela Robinson,26141021
Yongchang Li,39196033
John Polson,39057744
Ted Kotcheff,7800007
Aaron Nee,25986088
Adam Nee,25986088
Til Schweiger,11078016
Greg Berlanti,19301862
David McNally,38482786
Tian Yu-sheng,38240797
Nuel C. Naval,25427389
John Erick Dowdle,12677470
Hugh Wilson,9500000
Bob Swaim,37868958
Jimming Guo,75490000
Lone Scherfig,12557572
Yoshihiro Nakamura,12537717
Phil Alden Robinson,15031169
Zheng Dasheng,37568893
Eric Warin,37366925
Eric Summer,37365860
Steve Miner,5335714
John Carney,18671633
Alexander Witt,74428656
Susanna White,24679004
Peggy Holmes,24605360
Yao Yoyo,73724082
Bruce Beresford,2722213
Irwin Winkler,12220620
Jason Moore,18329803
Patryk Vega,5625002
Frant Fwo,73050000
Justin Chadwick,24348585
Jeremy Degruson,36496726
Gao Ke,72760000
Mark Neveldine,12118203
Tie Wei,72506344
David Lowery,10274628
Jean-Marc Vallee,14381295
Takahiro Miki,6532672
Dan Scanlan,71802456
Shinji Ushiro,35895871
Theodore Melfi,17942468
Mike Leigh,5511590
Paolo Sorrentino,8929349
Luis Llosa,35700000
Sammo Hung Kam-Bo,17838129
Alexandre Astier,35676152
Kim Ji-hoon,23635892
Masato Harada,11769277
Takeshi Kitano,5875856
YasuichirÃ´ Yamamoto,17574833
Jessie Nelson,23410735
Sam Weisman,17550000
Zhang Jiajia,70065568
Penny Marshall,8741571
Dylan Brown,69886532
Chen Li,34854626
Kenji Nagasaki,23210732
Ringo Lam,17390056
Christian Rivers,69530864
Peter Lepeniotis,23067626
Hyung-rae Shim,22979213
Stuart Beattie,34450000
Tom McCarthy,8611574
Philippe Lacheau,13758334
Jun Li,17151912
Baoping Cao,22781566
Todd Haynes,5691256
Hu Jia,68110000
Cen Junyi,68110000
George Nolfi,22581402
Dean Israelite,16932075
Sanjay Leela Bhansali,16930015
Gerard McMurray,33782926
Wenjun Yang,67458479
MiloÅ¡ Forman,7457760
Jang Joon-hwan,22298234
Gregory Plotkin,33424851
Sang Geun Lee,66564874
Griffin Dunne,11086300
Anees Bazmee,11065347
Il-Hyeong Lee,66336016
Ken Loach,4140474
Steven E. de Souza,66000000
Nick Castle,13200000
Vincent Kesteloot,32995593
Alex de la Iglesia,5072221
Hiroaki Miyamoto,65605166
Stuart Baird,32700000
Yuzhong Zhang,32665000
Jeong-beom Lee,21720387
Koki Mitani,21715773
Steve Beck,32418197
Thomas Vinterberg,8029490
Nima Nourizadeh,32075683
Bennett Miller,21358550
Spike Jonze,12784525
Peter Pau,63870868
Shigeharu Takahashi,31919003
Nadine Labaki,21191028
Paul Fisher,63455646
Bob Logan,63455646
Charlie Bean,31727823
Kevin Tancharoen,31686055
Peter Billingsley,31656527
Jim Sheridan,7001585
Yu Li,20950000
Yulai Lu,62810000
Iain Morris,15630961
Alejandro Agresti,20837470
Xiaoxing Yi,62460000
Michael Haneke,10373587
Carlos Lopez Estrada,12407867
Jae-rim Han,62006230
Chris Addison,30986265
Warren Beatty,12378814
Zhang Zhiliang,61850000
John Guillermin,6170752
Steve Williams,61626621
Robin Budd,61432424
Donovan Cook,61432424
Harold Becker,6812000
Joe Dante,3605589
Anthony Stacchi,30530718
Graham Annable,61061436
Luo Luo,20307432
Michael J. Bassett,10152973
Chris Butler,30430154
Lee Gye-Byeok,20197592
Paul Weiland,12107201
Ron Shelton,6712597
Susana Garcia,30189328
Sho Tsukikawa,10028037
Disha Zhang,30003206
Richard Benjamin,5454545
Nicolas Vanier,11986513
Aleksander Bach,59715353
Brian Taylor,14907110
James Huth,14879480
Christian Ditter,19762119
Kim Byung-seo,59132947
Hae-Juh Lee,59132947
Wim Wenders,2687603
Xu Jinglei,29523860
Toni Myers,19650875
Hiroaki Matsuyama,29450335
Josh Stolberg,19552335
Anton Corbijn,11692760
Rob Zombie,5842500
Damon Beesley,58000000
Oxide Pang Chun,8274406
Robert Eggers,19206357
Anurag Basu,11523636
Yang Qing,57604301
Greg Jacobs,28783682
Sandra Ng,57442237
Sha Mo,57215847
Kevin Kolsch,19048791
Jodie Foster,14276101
Dennis Widmyer,28547491
Tomohiko Ito,28524393
Masayuki,57019825
Han Lee (ì´í),11340482
Kimberly Peirce,14164146
Stephen Hillenburg,56634646
Ari Aster,18840563
Franck Gastambide,28204828
John Whitesell,9388263
Danny Pang,5116406
Ren Pengyuan,56235548
Gail Mancuso,56084834
Shubao Guo,56040680
Eugenio Derbez,56019410
Hugo GÃ©lin,27919893
Tomonori SudÅ,18597210
Gabor Csupo,55750649
Todd Michael Amateau,55750649
Kim Hanmin,55659800
Jim Jarmusch,3972960
Asghar Farhadi,7937320
Togan GÃ¶kbakar,11028243
Javier Gutierrez,55124265
Jake Schreier,13767522
Kevin Munroe,13728726
Nicolas Winding Refn,13710354
Cheng Fenfen,54663066
Samuel Bayer,54654607
Jaume Balaguero,7803321
Brian Percival,27299115
Masayuki Suzuki,13625019
Otto Bathurst,54385384
Jo Sung-hee,18113145
Ferzan Ozpetek,9049078
Patrick Gilmore,54284432
Chen-Hao Yin,54253498
Jae-hyun Jang,27125956
Aneesh Chaganty,18046587
Yang Xiao,27002162
Jean-Marie Poire,53999678
Mark Levin,53850663
Jennifer Flackett,53850663
Kevin Donovan,53843625
Kevin Smith,2982572
Oriol Paulo,17891959
Greg MacGillivray,5312961
CÃ©sar Rodrigues,17700915
Joan Chen,17654918
Charles Shyer,6617634
Jonathan Dayton,17597835
Valerie Faris,17597835
Gilles de Maistre,10546466
Shen Zhou,26229158
Lu Liu,26229158
Lee Seokhoon,52451460
Stiles White,52444622
Howard Hall,17472309
Hayato Kawai,8728870
Yunfei Wang,7479629
Ashwiny Iyer Tiwari,13065132
Beier Bao (åè´å°),17402097
Checco Zalone,52186424
Nikolay Lebedev,52092388
Hongguang Lin,51955230
Nacho G. Velilla,10383445
Tien Jen Huang,51504789
Lorene Scafaria,17150755
Angelina Jolie,8547422
Nikhil Advani,10256587
Zhora Kryzhovnikov,17055402
Steven Antin,51112020
Derek Yee,17017332
Anna J. Foerster,25427625
Na Hong-jin,50752929
Henry Selick,25375414
Jun Falkenstein,16890464
Albert Dupontel,12647842
Klimas Å ipenko,50590362
Ui-seok Jo,50423395
Christophe Gans,16800508
Tadayoshi Yamamuro,50400000
Alexey Tsitsilin,12580675
Morgan Spurlock,6279623
